시설구분명,시설명,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,시도코드,시도명,시군구코드,시군구명,소재지도로명주소,소재지지번주소,설립자명,전화번호,등록일자,등록상태구분명,학력인정여부,학력인정연도,기관홈페이지주소,데이터기준일자
사업장부설,이마트컬처클럽대전터미널점,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 동서대로 1689(용전동), 4층",,㈜이마트,042-615-1250,2011-12-22,개원,N,,,2026-03-05
시민사회단체부설,(사)한국장애인정보화협회대전광역시평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 대흥로 9(문화동), 4,5층",,(사)한국장애인정보화협회대전광역시평생교육원,042-672-3131,2010-10-12,개원,N,,,2026-03-05
시민사회단체부설,아우름평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,230,대덕구,"대전광역시 대덕구 한밭대로 1141(중리동), 4층",,아우름복지법인,042-627-2212,2010-11-15,개원,N,,,2026-03-05
시민사회단체부설,한마음시민학교평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 대흥로 26(대사동), 6층",,한마음야학,042-222-4655,2011-08-31,개원,N,,,2026-03-05
시민사회단체부설,대전동구장애인평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 태전로 52(삼성동), 502호",,(사)대전장애인정보화협회동구지회,042-286-5090,2011-09-05,개원,N,,,2026-03-05
시민사회단체부설,늘푸른평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,230,대덕구,"대전광역시 대덕구 회덕로21번길 71(신대동), 1층",,늘푸른교육봉사협의회,042-628-2968,2013-02-01,개원,N,,,2026-03-05
시민사회단체부설,글로벌에듀테크평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 계백로 1547(유천동), 4층",,모두의행복사회적협동조합,070-8869-2572,2018-12-28,개원,N,,,2026-03-05
시민사회단체부설,푸른봄배움터평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 대흥로157번길 48(대흥동), 4층",,청춘학교,042-254-2007,2019-06-27,개원,N,,,2026-03-05
시민사회단체부설,열두달장독대아카데미,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 계족로 88(신흥동), 2층일부",,(사)열두달장독대전통발효식품협회,042-273-1797,2022-10-21,개원,N,,,2026-03-05
시민사회단체부설,한성평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 한밭대로1237번길 37-24(용전동), 3층",,사단법인행복한가족연구소,042-000-0000,2025-04-07,개원,N,,,2026-03-05
언론기관부설,국제교육문화센터서대전지사,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 계룡로 932(대사동), 3층",,국제교육문화신문사,042-255-7917,2006-11-03,개원,N,,,2026-03-05
언론기관부설,교차로신문문화센터,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 동서대로 1669(용전동), 2층",,대전교차로㈜,042-637-2000,2009-08-28,개원,N,,,2026-03-05
언론기관부설,대전총신평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,230,대덕구,"대전광역시 대덕구 대전로1033번길 25(오정동), 202호,3,4층",,한영동,042-634-8301,2010-07-22,개원,N,,,2026-03-05
언론기관부설,브레인평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 선화서로 52(선화동), 3층",,브레인연구소주식회사,042-542-1076,2013-07-05,개원,N,,,2026-03-05
언론기관부설,제이에스엘인재개발원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 계룡로 825(용두동), 5~7층일부",,제이에스엘인재개발원주식회사,042-242-4412,2019-04-26,개원,N,,,2026-03-05
언론기관부설,비욘드그룹평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 계백로 1711(오류동), 3층",,주식회사비욘드그룹,042-863-0022,2019-08-07,개원,N,,,2026-03-05
언론기관부설,글로벌식문화평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 태평로 143(태평동), 602호",,주식회사글로벌식문화평생교육원,042-328-5252,2021-04-30,개원,N,,,2026-03-05
언론기관부설,유즈필라테스송촌점평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,230,대덕구,"대전광역시 대덕구 계족산로81번길 101(송촌동), 5층",,유한남,042-622-0610,2021-08-20,개원,N,,,2026-03-05
언론기관부설,그로스평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 대종로 456(대흥동), 5층",,김나영,042-721-7400,2022-04-20,개원,N,,,2026-03-05
언론기관부설,힘찬건설평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 계족로 271(소제동), 2,3층",,이진혁,042-622-2171,2023-03-08,개원,N,,,2026-03-05
언론기관부설,주은필라테스평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 은어송로51번길 5(가오동), 6층",,최은혜,042-000-0000,2025-06-09,개원,N,,,2026-03-05
지식인력개발형태,글로벌한평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 계룡로 825(용두동), 8층",,주식회사글로벌교육원,042-242-5231,2014-01-24,개원,N,,,2026-03-05
언론기관부설,라온요가필라테스평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 동서대로1683번길 33-11 (용전동), 101호",,주식회사은봄라이프,042-000-0000,2024-10-14,개원,N,,,2026-03-05
사업장부설,타임월드일반문화센타평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 대덕대로 211(둔산동), 갤러리아백화점",,주식회사 한화갤러리아타임월드,042-480-5955,1997-11-29,개원,N,,,2026-03-05
지식인력개발형태,케이에이지이(KAGE)교육학술원평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔산대로117번길 22, 4층 일부, 5층 일부 (만년동)",,(주)월드클래스에듀,042-485-1117,1998-06-30,개원,N,,,2026-03-05
사업장부설,세이브존문화센터평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔산로 201, 세이브존 문화센터 지하2층 (둔산동, 국화아파트)",,(주)세이브존아이앤씨,042-710-9028,1999-06-24,개원,N,,,2026-03-05
사업장부설,롯데백화점대전점일반문화센타평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계룡로 612, 2층 일부, 3층,4층 (괴정동)",,롯데쇼핑(주),042-601-2804,2000-03-21,개원,N,,,2026-03-05
시민사회단체부설,풀잎문화센터둔산교육원평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔산로 67, 203호 (둔산동,경보빌딩)",,황경하,042-488-6908,2003-05-14,개원,N,,,2026-03-05
원격대학형태,중앙원격평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계룡로509번길 17(탄방동), 향군회관 3층",,최헌규,042-489-7733,2006-02-27,개원,N,,,2026-03-05
사업장부설,홈플러스문화센터유성점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 한밭대로 502, 3층 일부 (봉명동,홈플러스)",,홈플러스주식회사(대표이사:이제훈),042-826-2015,2006-12-15,개원,N,,,2026-03-05
언론기관부설,대덕넷아카데미평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 대덕대로 582, 401호 (도룡동, 옥토빌딩)",,(주)대덕넷 이석봉,042-824-4224,2007-10-18,개원,N,,,2026-03-05
사업장부설,롯데마트문화센터평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 테크노중앙로 14 (관평동), 대덕테크노밸리 2층",,롯데쇼핑(주),042-930-2590,2007-11-19,개원,N,,,2026-03-05
사업장부설,롯데마트노은점문화센터평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,대전광역시 유성구 북유성대로 206 (하기동),,롯데쇼핑(주),042-820-8390,2008-10-23,개원,N,,,2026-03-05
사업장부설,롯데마트서대전점문화센터평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,대전광역시 유성구 유성대로 26-37 (원내동),,롯데쇼핑(주),042-540-2590,2008-12-30,개원,N,,,2026-03-05
시민사회단체부설,대전반딧불평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,유성구,"대전광역시 유성구 유성대로 798-1, 6층",,김진중,042-525-9091,2010-04-07,개원,N,,,2026-03-05
언론기관부설,한국평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 도안대로589번길 13, 2층 일부 (봉명동)",,주식회사 한국평생교육원,042-533-9333,2010-05-28,개원,N,,,2026-03-05
사업장부설,이마트둔산점컬처클럽평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔산북로 41, 3층 문화센터 (둔산동, 대전둔산이마트)",,(주)이마트,042-479-1250,2011-06-16,개원,N,,,2026-03-05
언론기관부설,백합평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 중반5길125, 3층 (변동)",,전슬기,042-000-0000,2011-08-09,개원,N,,,2026-03-05
지식인력개발형태,케이티씨에스평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 갈마로 160,   제1연수관 6층 (괴정동)",,주식회사케이티씨에스,042-000-0000,2011-08-11,개원,N,,,2026-03-05
원격대학형태,한국씨에스평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 대덕대로 530, 마102호 (도룡동, 대덕첨단산업유통)",,이서희,042-000-0000,2012-11-01,개원,N,,,2026-03-05
원격대학형태,한국원격평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 도안대로589번길 13, 2층 일부 (봉명동)",,주식회사 한국평생교육원,042-533-9333,2013-06-12,개원,N,,,2026-03-05
학교형태,모두사랑장애인야간학교평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔산남로 98-17, 5층 (탄방동)",,사단법인 모두사랑,042-521-9933,2015-10-29,개원,N,,,2026-03-05
장애인,한밭장애인자립생활센터부설대전장애인평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔산로31번길 72, 3층 일부 (둔산동)",,한밭장애인자립생활센터,042-486-2371,2017-10-11,개원,N,,,2026-03-05
장애인,대전장애인배움터풀꽃야학평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 갈마로 107, 4층 일부 (갈마동)",,박재홍,042-488-2598,2017-10-27,개원,N,,,2026-03-05
언론기관부설,비즈메카인재개발평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 문정로 12, 402호 (탄방동)",,김민수,042-000-0000,2018-04-23,개원,N,,,2026-03-05
언론기관부설,비욘드피티필라테스평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 신성남로 57, 3층 (신성동)",,주식회사비욘드피티필라테스,042-863-9900,2019-07-09,개원,N,,,2026-03-05
언론기관부설,화수분평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 학하서로53번길 6, 102호 (계산동)",,이정하,042-471-3253,2020-02-19,개원,N,,,2026-03-05
언론기관부설,필라테스정원반석점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 반석로 15, 2층 (반석동)",,김필종,042-000-0000,2021-01-21,개원,N,,,2026-03-05
언론기관부설,리본대전둔산점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔산남로 108, 4층 (탄방동)",,이준호,042-000-0000,2021-01-27,개원,N,,,2026-03-05
언론기관부설,필라테스뮬평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 구봉로 137, 402호 (관저동)",,김태현,042-000-0000,2021-02-16,개원,N,,,2026-03-05
언론기관부설,카이필라테스평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 관저로 157, 304호 (관저동, 하이존)",,서유미,042-000-0000,2021-04-12,개원,N,,,2026-03-05
지식인력개발형태,(사)한국발전인재개발원평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 구봉산북로94번길 77 (관저동, 한국발전인재개발원(교육연구시설))",,사단법인 한국발전인재개발원,042-281-4772,2021-03-30,개원,N,,,2026-03-05
원격대학형태,(사)한국발전인재개발원디지털교육센터평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 구봉산북로94번길 77 (관저동, 한국발전인재개발원(교육연구시설))",,사단법인 한국발전인재개발원,042-281-4772,2021-03-30,개원,N,,,2026-03-05
지식인력개발형태,대덕벤처평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 갑천로 361-17, 201호 (탑립동)",,(사)대덕이노폴리스벤처협회 김병순,042-867-9700,2021-06-04,개원,N,,,2026-03-05
사업장부설,신세계아카데미대전평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 엑스포로 1, 대전신세계백화점 9층 일부 (도룡동)",,주식회사 대전신세계,042-607-1505,2021-08-26,개원,N,,,2026-03-05
원격대학형태,한솔시니어원격평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계룡로 586, 803호 (괴정동)",,한솔시니어협동조합,042-528-0736,2021-09-03,개원,N,,,2026-03-05
언론기관부설,유즈필라테스대전월평점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 청사로123번길11, 6층(월평동)",,유한남,042-000-0000,2022-06-30,개원,N,,,2026-03-05
지식인력개발형태,대전천문대평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 현충원로165, 2층(갑동)",,대전어린이천문대 주식회사,042-826-1730,2022-08-17,개원,N,,,2026-03-05
지식인력개발형태,디에스평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 원도안로179번길23-8, 1층(도안동)",,주식회사 제이원,042-000-0000,2022-09-08,개원,N,,,2026-03-05
언론기관부설,은봄필라테스평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 청사로228, 204호 일부(둔산동, 청사오피스텔)",,주식회사 은봄라이프,042-000-0000,2023-01-26,개원,N,,,2026-03-05
원격대학형태,메디큐원격평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,200,유성구,"대전광역시 유성구 반석로13, 201호(반석동, 웰빙타운)",,주식회사 메디큐교육개발원,042-000-0000,2023-02-10,개원,N,,,2026-03-05
언론기관부설,휴먼케어필라테스대전점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 문예로69, 5층",,박병재,042-000-0000,2023-03-31,개원,N,,,2026-03-05
언론기관부설,은봄필라테스갈마점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계룡로500번길 10, 1층 일부",,주식회사 어떤날하우스,042-000-0000,2023-08-01,개원,N,,,2026-03-05
언론기관부설,바디앤솔필라테스 평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계백로 900, 706호, 707호, 708호",,엄효정,042-000-0000,2023-10-17,개원,N,,,2026-03-05
원격대학형태,산림복지원격평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 구봉산북로 96-90, 산림복지종합교육센터 (관저동)",,한국산림복지진흥원,042-719-4351,2023-12-28,개원,N,,,2026-03-05
언론기관부설,리조트랩요가&필라테스대전점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계룡로 598, 4층 일부",,주식회사 리조트랩대전점,042-601-2444,2024-01-04,개원,N,,,2026-03-05
언론기관부설,대전컬컴평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 둔지로 14 (둔산동), 4층",,주식회사 컬컴대전,042-000-0000,2024-09-23,개원,N,,,2026-03-05
언론기관부설,메트로평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계룡로 598 (괴정동), 4층 일부",,주식회사 메트로,042-000-0000,2025-04-15,개원,N,,,2026-03-05
언론기관부설,바디앤솔필라테스충남대점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,유성구,"대전광역시 유성구 대학로 84, 4층(궁동)",,"이동균,박순영",042-000-0000,2025-06-25,개원,N,,,2026-03-05
언론기관부설,바디앤솔메디필라테스평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 만년로67번길 22, 5층(만년동)",,배지원,042-000-0000,2025-09-15,개원,N,,,2026-03-05
언론기관부설,바디앤솔필라테스관평점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,유성구,"대전광역시 유성구 테크노중앙로 40, 6층(관평동)",,김하유,042-000-0000,2025-09-15,개원,N,,,2026-03-05
언론기관부설,산림복지종합교육센터평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 구봉산북로 96-90, 산림복지종합교육센터 (관저동)",,한국산림복지진흥원,042-719-4351,2025-10-31,개원,N,,,2026-03-05
언론기관부설,한국인재육성교육개발원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 계백로 1260, 3층(정림동)",,한미희,042-000-0000,2025-12-09,개원,N,,,2026-03-05
언론기관부설,자이로토닉채움유성점평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,유성구,"대전광역시 유성구 상대복용로29번길 9-18, 601호(상대동)",,서채영,042-000-0000,2025-12-24,개원,N,,,2026-03-05
원격대학형태,대한사이버평생교육원,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,30,대전광역시,170,서구,"대전광역시 서구 청사로 136(월평동), 12층 일부",,주식회사 두즈,042-000-0000,2025-12-30,개원,N,,,2026-03-05
